epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,2257.79,1.68448,1.73685,1.75029,0.68488,0.6526,0.72705,0.33326,1.90435,1.4328,1.7613,0.0044065,0.0044065,0.0044065
115,2279.3,1.69577,1.69101,1.7364,0.66232,0.63861,0.7022,0.32243,1.85876,1.42144,1.73116,0.004357,0.004357,0.004357
116,2301.15,1.70821,1.69594,1.75626,0.60167,0.72302,0.7126,0.32273,1.94533,1.42098,1.79332,0.0043075,0.0043075,0.0043075
117,2322.93,1.69236,1.72076,1.73074,0.66842,0.70522,0.72564,0.32213,1.89244,1.42062,1.74062,0.004258,0.004258,0.004258
118,2344.62,1.68614,1.67955,1.74339,0.71125,0.70674,0.75132,0.33091,1.89426,1.40838,1.74713,0.0042085,0.0042085,0.0042085
119,2366.24,1.67493,1.69812,1.73993,0.66631,0.74091,0.73652,0.32865,1.90734,1.42553,1.76025,0.004159,0.004159,0.004159
120,2387.78,1.68537,1.69938,1.74186,0.73104,0.69578,0.75362,0.34278,1.88737,1.42905,1.73659,0.0041095,0.0041095,0.0041095
121,2409.55,1.67648,1.72719,1.72044,0.68381,0.65559,0.72577,0.33285,1.86831,1.42945,1.7168,0.00406,0.00406,0.00406
122,2431.09,1.68309,1.66219,1.72515,0.7245,0.67756,0.74252,0.33979,1.87682,1.45903,1.72602,0.0040105,0.0040105,0.0040105
123,2452.51,1.66955,1.66715,1.7058,0.68732,0.70351,0.74582,0.33947,1.86698,1.36532,1.71018,0.003961,0.003961,0.003961
124,2471.19,1.69109,1.71678,1.74895,0.70379,0.75067,0.74977,0.34644,1.87867,1.37632,1.72968,0.0039115,0.0039115,0.0039115
125,2487.56,1.69967,1.65359,1.73471,0.69057,0.73435,0.76136,0.35739,1.85732,1.37576,1.71779,0.003862,0.003862,0.003862
126,2508.83,1.64701,1.64379,1.70809,0.70262,0.7065,0.75407,0.34023,1.87563,1.32048,1.71926,0.0038125,0.0038125,0.0038125
127,2530.65,1.6717,1.65187,1.72199,0.69168,0.7436,0.77238,0.35691,1.87949,1.32077,1.70811,0.003763,0.003763,0.003763
128,2552.3,1.63613,1.61504,1.67923,0.67921,0.75619,0.75692,0.35333,1.8698,1.33747,1.70369,0.0037135,0.0037135,0.0037135
129,2574.02,1.66764,1.64489,1.70418,0.69586,0.71784,0.73963,0.34694,1.87555,1.32108,1.72764,0.003664,0.003664,0.003664
130,2595.99,1.65632,1.63797,1.69705,0.72321,0.69271,0.72915,0.33948,1.88331,1.34176,1.72179,0.0036145,0.0036145,0.0036145
131,2618.02,1.6592,1.64031,1.71228,0.71716,0.71295,0.76978,0.34611,1.87786,1.34145,1.72579,0.003565,0.003565,0.003565
132,2637.31,1.65919,1.59963,1.69939,0.74478,0.70232,0.76865,0.34803,1.87522,1.32448,1.72946,0.0035155,0.0035155,0.0035155
133,2659.23,1.64376,1.62825,1.68891,0.6871,0.73685,0.76044,0.35718,1.88504,1.31456,1.72115,0.003466,0.003466,0.003466
134,2680.6,1.64459,1.61164,1.69911,0.66938,0.7284,0.75352,0.34683,1.8794,1.31631,1.70963,0.0034165,0.0034165,0.0034165
135,2702.38,1.63787,1.58964,1.68463,0.67826,0.73695,0.75268,0.34983,1.88431,1.34192,1.74089,0.003367,0.003367,0.003367
136,2723.76,1.62239,1.5738,1.69988,0.7127,0.74483,0.77575,0.35486,1.91135,1.29324,1.75245,0.0033175,0.0033175,0.0033175
137,2745.64,1.64979,1.58793,1.69992,0.75034,0.72311,0.78603,0.3571,1.90301,1.30607,1.73673,0.003268,0.003268,0.003268
138,2767.48,1.64958,1.59394,1.69815,0.7214,0.72279,0.77364,0.35655,1.85776,1.30889,1.7112,0.0032185,0.0032185,0.0032185
139,2789.39,1.64163,1.62896,1.6957,0.73721,0.67015,0.77035,0.35839,1.86301,1.31211,1.72284,0.003169,0.003169,0.003169
140,2811.02,1.62745,1.57052,1.68464,0.74104,0.72864,0.78803,0.3638,1.85355,1.27383,1.71072,0.0031195,0.0031195,0.0031195
141,2832.71,1.61512,1.59682,1.69659,0.7446,0.69169,0.76868,0.36173,1.84094,1.30124,1.69988,0.00307,0.00307,0.00307
142,2854.84,1.62757,1.57835,1.69278,0.75619,0.73191,0.79723,0.36393,1.85097,1.25174,1.7146,0.0030205,0.0030205,0.0030205
143,2876.49,1.60067,1.55565,1.66509,0.69457,0.75635,0.7726,0.36388,1.85068,1.29028,1.70502,0.002971,0.002971,0.002971
144,2898.37,1.63018,1.55373,1.69644,0.696,0.73009,0.77804,0.36326,1.86018,1.28411,1.69617,0.0029215,0.0029215,0.0029215
145,2920.15,1.6154,1.52816,1.67335,0.76748,0.69045,0.79209,0.38173,1.83737,1.24318,1.68448,0.002872,0.002872,0.002872
146,2940.04,1.63969,1.60817,1.69871,0.72638,0.78752,0.80636,0.37747,1.82594,1.28252,1.68562,0.0028225,0.0028225,0.0028225
147,2960.33,1.59397,1.56509,1.667,0.73706,0.76054,0.78084,0.36939,1.83586,1.26764,1.69828,0.002773,0.002773,0.002773
148,2982.07,1.62308,1.54323,1.67378,0.76502,0.75514,0.8205,0.38335,1.83361,1.24046,1.69162,0.0027235,0.0027235,0.0027235
